STATION,NAME,DATE,PRCP,TAVG,TMAX,TMIN
IN001080500,"BEGUMPET OBSERVATORY, IN",01-01-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",02-01-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",03-01-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",04-01-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",05-01-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",06-01-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",07-01-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",08-01-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",09-01-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",10-01-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",11-01-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",12-01-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",13-01-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",14-01-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",15-01-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",16-01-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",17-01-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",18-01-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",19-01-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",20-01-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",21-01-1970,0.22,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",22-01-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",23-01-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",24-01-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",25-01-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",26-01-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",27-01-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",28-01-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",29-01-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",30-01-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",31-01-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",01-02-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",02-02-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",03-02-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",04-02-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",05-02-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",06-02-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",07-02-1970,0,,,
